დასახელება,მახასიათებლები,ფასი ლარებში-დოლარებში
იყიდება 2012 წლიანი Toyota Prius   რუსთავში,"
 131000 კმ
 ავტომატიკა
 1.5 ბენზინი
 მარცხენა
","
 5 700
16 300


₾

$"
იყიდება 2015 წლიანი Hyundai Elantra   რუსთავში,"
 80000 კმ
 ავტომატიკა
 1.8 ბენზინი
 მარცხენა
","
 6 000
17 200


₾

$"
იყიდება 2016 წლიანი Subaru Forester   რუსთავში,"
 148800 კმ
 ავტომატიკა
 2.5 ბენზინი
 მარცხენა
","
 9 500
27 200


₾

$"
იყიდება 2017 წლიანი Toyota Camry   რუსთავში,"
 153600 კმ
 ავტომატიკა
 2.5 ბენზინი
 მარცხენა
","
 10 000
28 600


₾

$"
იყიდება 2017 წლიანი Toyota C-HR   რუსთავში,"
 44800 კმ
 ავტომატიკა
 2.5 ბენზინი
 მარცხენა
","
 14 000
40 000


₾

$"
იყიდება 2016 წლიანი Hyundai Santa Fe   რუსთავში,"
 89600 კმ
 ავტომატიკა
 2.4 ბენზინი
 მარცხენა
","
 12 800
36 600


₾

$"
იყიდება 2005 წლიანი Toyota Vitz   თბილისში,"
 166800 კმ
 ავტომატიკა
 1.3 ბენზინი
 მარჯვენა
","
 3 500
10 000


₾

$"
იყიდება 2002 წლიანი Volkswagen Passat   თბილისში,"
 173000 კმ
 ავტომატიკა
 2.8 ბუნებრივი აირი
 მარცხენა
","
 2 500
7 150


₾

$"
იყიდება 2005 წლიანი Opel Zafira   ზესტაფონში,"
 200000 კმ
 მექანიკა
 2.0 დიზელი
 მარცხენა
","
შეთანხმებით
$"
იყიდება 2011 წლიანი Citroen C5   რუსთავში,"
 157000 კმ
 ავტომატიკა
 3.0 დიზელი
 მარცხენა
","
 6 220
17 800


₾

$"
იყიდება 2008 წლიანი Toyota Prius   რუსთავში,"
 334 კმ
 ავტომატიკა
 1.5 ბენზინი
 მარცხენა
","
 4 310
12 300


₾

$"
იყიდება 2012 წლიანი Mercedes-Benz C 250   რუსთავში,"
 139200 კმ
 ავტომატიკა
 1.8 ბენზინი
 მარცხენა
","
 8 520
24 400


₾

$"
იყიდება 2013 წლიანი Mercedes-Benz E 350   რუსთავში,"
 220800 კმ
 ავტომატიკა
 3.5 ბენზინი
 მარცხენა
","
 15 500
44 400


₾

$"
იყიდება 2016 წლიანი Subaru Forester   რუსთავში,"
 149 კმ
 ავტომატიკა
 2.5 ბენზინი
 მარცხენა
","
 10 500
30 100


₾

$"
იყიდება 2011 წლიანი BMW X5   რუსთავში,"
 216000 კმ
 ავტომატიკა
 3.0 ბენზინი
 მარცხენა
","
 11 500
33 000


₾

$"
იყიდება 2014 წლიანი Toyota Highlander   რუსთავში,"
 182 კმ
 ავტომატიკა
 3.5 ბენზინი
 მარცხენა
","
 19 000
54 500


₾

$"
